ID_PERSON,Tingkat_Pendidikan_Akhir,Usia,Satuan_Kerja,Bulan,Nilai
1001,7,61,DINAS B,Juli,7.884
1002,2,59,DINAS A,Juli,6.952
1003,6,57,BADAN D,Juli,8.185
1004,0,56,DINAS B,Juli,6.556
1005,3,54,DINAS B,Juli,6.347
1006,3,48,DINAS B,Juli,6.794
1007,2,47,DINAS B,Juli,6.546
1008,5,47,BADAN B,Juli,7.179
1009,3,47,DINAS P,Juli,7.485
1010,3,43,DINAS A,Juli,7.19
1011,1,43,DINAS F,Juli,7.152
1012,4,42,DINAS F,Juli,6.377
1013,5,42,BADAN B,Juli,7.546
1014,2,42,BADAN B,Juli,7.378
1015,5,41,BADAN D,Juli,7.604
1016,5,41,DINAS F,Juli,7.002
1017,3,40,DINAS P,Juli,7.18
1018,5,39,DINAS F,Juli,7.477
1019,4,39,BADAN B,Juli,6.472
1020,5,38,DINAS A,Juli,7.13
1021,5,35,DINAS P,Juli,7.322
1022,2,34,DINAS P,Juli,6.902
1023,5,32,DINAS F,Juli,7.193
1024,5,28,DINAS P,Juli,7.19
1025,4,27,BADAN D,Juli,7.684
1026,5,25,BADAN D,Juli,7.102
1027,5,25,DINAS A,Juli,7.265
1028,5,25,DINAS A,Juli,8.404
1029,5,25,BADAN B,Juli,7.043
1030,5,25,BADAN D,Juli,7.032
